,Cocktail Name,Recipe,Ingredients,Proportions
260,Moscow Mule,"8 oz Ginger ale, 2 oz Lime juice, 2 oz Vodka","Ginger ale, Lime juice, Vodka","8 oz , 2 oz , 2 oz "
261,Mulled Wine,"1/4 cup Brandy, 750 ml Red wine, 1 Lemon peel, 2 Cinnamon, 12 Cloves, 1 cup Sugar, 3 cups Water","Brandy, Red wine, Lemon peel, Cinnamon, Cloves, Sugar, Water","1/4 cup , 750 ml , 1 , 2 , 12 , 1 cup , 3 cups "
262,Masala Chai,"to tasteMilk,  to taste
Sugar, 1-2 whole Black pepper, 1 piece Cinnamon, 3 Cloves, 3-4 crushed Cardamom, 1 chunk dried Ginger, 3-4 tsp Tea, 2 cups Water","Milk, Sugar, Black pepper, Cinnamon, Cloves, Cardamom, Ginger, Tea, Water","to taste,  to taste
, 1-2 whole , 1 piece , 3 , 3-4 crushed , 1 chunk dried , 3-4 tsp , 2 cups "
263,Munich Mule,"Choppedlemon, ChoppedCucumber, 10 clGinger Beer, 2 clLime Juice, 5 clGin","lemon, Cucumber, Ginger Beer, Lime Juice, Gin","Chopped, Chopped, 10 cl, 2 cl, 5 cl"
264,Mocha-Berry,"NoneWhipped cream, 2 tblsp Cocoa powder, 2 oz Chambord raspberry liqueur, 6 oz Coffee","Whipped cream, Cocoa powder, Chambord raspberry liqueur, Coffee","2 tblsp , 2 oz , 6 oz "
265,Mango Mojito,"Garnish withMango, TopSoda Water, cubesIce, 200 mlWhite Rum, SprigMint, 1 FreshMango, 3Lime","Mango, Soda Water, Ice, White Rum, Mint, Mango, Lime","Garnish with, Top, cubes, 200 ml, Sprig, 1 Fresh, 3"
266,Mojito Extra,"8 drops Angostura bitters, 1/8 L Club soda, 1/8 L Jamaican Dark rum, 3 cl Lemon juice, 1/2 handful Mint","Angostura bitters, Club soda, Dark rum, Lemon juice, Mint","8 drops , 1/8 L , 1/8 L Jamaican , 3 cl , 1/2 handful "
267,Monkey Gland,"1 tsp Grenadine, 1/2 oz Orange juice, 1 tsp Benedictine, 2 oz Gin","Grenadine, Orange juice, Benedictine, Gin","1 tsp , 1/2 oz , 1 tsp , 2 oz "
268,Midnight Mint,"3/4 oz double Cream, 3/4 oz White Creme de Menthe, 1 oz Baileys irish cream","Cream, White Creme de Menthe, Baileys irish cream","3/4 oz double , 3/4 oz , 1 oz "
269,Mary Pickford,"1 Maraschino cherry, 1/2 tsp Grenadine, 1/2 tsp Maraschino liqueur, 1 oz Pineapple juice, 1 1/2 oz Light rum","Maraschino cherry, Grenadine, Maraschino liqueur, Pineapple juice, Light rum","1 , 1/2 tsp , 1/2 tsp , 1 oz , 1 1/2 oz "
270,Monkey Wrench,"1 dash Bitters, 3 oz Grapefruit juice, 1 1/2 oz Light rum","Bitters, Grapefruit juice, Light rum","1 dash , 3 oz , 1 1/2 oz "
271,Mother's Milk,"1 oz Milk, 1 oz Butterscotch schnapps, 1 oz Goldschlager","Milk, Butterscotch schnapps, Goldschlager","1 oz , 1 oz , 1 oz "
272,Negroni,"1 oz Sweet Vermouth, 1 oz Campari, 1 oz Gin","Sweet Vermouth, Campari, Gin","1 oz , 1 oz , 1 oz "
273,New York Sour,"NoneCherry, NoneLemon,  (Claret)
Red wine, 1 tsp Sugar, Juice of 1/2 Lemon, 2 oz Blended whiskey","Cherry, Lemon, Red wine, Sugar, Lemon, Blended whiskey"," (Claret)
, 1 tsp , Juice of 1/2 , 2 oz "
274,Nutty Irishman,"1 part Milk, 1 part Frangelico, 1 part Baileys irish cream","Milk, Frangelico, Baileys irish cream","1 part , 1 part , 1 part "
275,National Aquarium,"1 splash Lemon-lime soda, 2 oz Sour mix, 1/2 oz Blue Curacao, 1/2 oz Gin, 1/2 oz Vodka, 1/2 oz Rum","Lemon-lime soda, Sour mix, Blue Curacao, Gin, Vodka, Rum","1 splash , 2 oz , 1/2 oz , 1/2 oz , 1/2 oz , 1/2 oz "
276,New York Lemonade,"1 oz Club soda, 2 oz sweetened Lemon juice, 1 oz Grand Marnier, 2 oz Absolut Citron","Club soda, Lemon juice, Grand Marnier, Absolut Citron","1 oz , 2 oz sweetened , 1 oz , 2 oz "
277,Nuked Hot Chocolate,"12 oz Milk, 1/2 tsp Vanilla extract, 1 tsp Sugar, 2 tsp Cocoa powder","Milk, Vanilla extract, Sugar, Cocoa powder","12 oz , 1/2 tsp , 1 tsp , 2 tsp "
278,Orgasm,"1 oz Light cream, 1/2 oz Vodka, 1/2 oz Triple sec, 1/2 oz Amaretto, 1/2 oz white Creme de Cacao","Light cream, Vodka, Triple sec, Amaretto, Creme de Cacao","1 oz , 1/2 oz , 1/2 oz , 1/2 oz , 1/2 oz white "
279,Old Pal,"1 ozDry Vermouth, 1 ozCampari, 2 ozRye whiskey","Dry Vermouth, Campari, Rye whiskey","1 oz, 1 oz, 2 oz"
280,Orangeade,"NoneSoda water, 2-3 cl Sugar syrup, 15 cl Orange juice, 5 cl Lemon juice","Soda water, Sugar syrup, Orange juice, Lemon juice","2-3 cl , 15 cl , 5 cl "
281,Orange Whip,"Over Ice, 1 package Cream, 1 oz Vodka, 1 oz Rum, 4 oz Orange juice","Ice, Cream, Vodka, Rum, Orange juice","Over , 1 package , 1 oz , 1 oz , 4 oz "
282,Orange Crush,"1 oz Orange juice, 1 oz Triple sec, 1 oz Vodka","Orange juice, Triple sec, Vodka","1 oz , 1 oz , 1 oz "
283,Orange Oasis,"NoneGinger ale, 4 oz Orange juice, 1 1/2 oz Gin, 1/2 oz Cherry brandy","Ginger ale, Orange juice, Gin, Cherry brandy","4 oz , 1 1/2 oz , 1/2 oz "
284,Old Fashioned,"dashWater, 1 cubeSugar, 2 dashesAngostura bitters, 4.5 cLBourbon","Water, Sugar, Angostura bitters, Bourbon","dash, 1 cube, 2 dashes, 4.5 cL"
285,Oreo Mudslide,"1 Oreo cookie, 2 scoops Vanilla ice-cream, 1 oz Baileys irish cream, 1 oz Kahlua, 1 oz Vodka","Oreo cookie, Vanilla ice-cream, Baileys irish cream, Kahlua, Vodka","1 , 2 scoops , 1 oz , 1 oz , 1 oz "
286,Oatmeal Cookie,"1/2 partGoldschlager, 1 partJagermeister, 4 partsButterscotch schnapps, 2 partsBaileys irish cream, 2 partsKahlua","Goldschlager, Jagermeister, Butterscotch schnapps, Baileys irish cream, Kahlua","1/2 part, 1 part, 4 parts, 2 parts, 2 parts"
287,Orange Push-up,"1 splash Sour mix, 4 oz Orange juice, 0.5 oz Grenadine, 1.5 oz Spiced rum","Sour mix, Orange juice, Grenadine, Spiced rum","1 splash , 4 oz , 0.5 oz , 1.5 oz "
288,Orange Rosemary Collins,"Garnish withOrange Peel, Garnish withRosemary, TopSoda Water, 25 mlRosemary Syrup, TopLemon Juice, TopOrange Juice, 1 shotGin","Orange Peel, Rosemary, Soda Water, Rosemary Syrup, Lemon Juice, Orange Juice, Gin","Garnish with, Garnish with, Top, 25 ml, Top, Top, 1 shot"
289,Orange Scented Hot Chocolate,"1/8 tsp ground Nutmeg, 1/2 tsp instant Espresso, 3 2-inch strips Orange peel, 4 oz chopped bittersweet or semi-sweet Chocolate, 2 cups Milk","Nutmeg, Espresso, Orange peel, Chocolate, Milk","1/8 tsp ground , 1/2 tsp instant , 3 2-inch strips , 4 oz chopped bittersweet or semi-sweet , 2 cups "
290,Owen's Grandmother's Revenge,"1 cup crushed Ice, 12 oz frozen Lemonade, 12 oz Beer, 12 oz Whiskey","Ice, Lemonade, Beer, Whiskey","1 cup crushed , 12 oz frozen , 12 oz , 12 oz "
291,Paloma,"1 1/2 ozTequila, 3 ozGrape Soda","Tequila, Grape Soda","1 1/2 oz, 3 oz"
292,Paradise,"3 parts Orange Juice, 4 partsApricot Brandy, 7 partsGin","Orange Juice, Apricot Brandy, Gin","3 parts , 4 parts, 7 parts"
293,Pink Gin,"2 oz Gin, 3 dashes Bitters","Gin, Bitters","2 oz , 3 dashes "
294,Pegu Club,"1 dashOrange Bitters, 1 dashAngostura Bitters, 3/4 ozLime Juice, 3/4 ozOrange Curacao, 1 1/2 ozGin","Orange Bitters, Angostura Bitters, Lime Juice, Orange Curacao, Gin","1 dash, 1 dash, 3/4 oz, 3/4 oz, 1 1/2 oz"
295,Pink Lady,"1 Egg white, 1 tsp Light cream, 1 tsp Grenadine, 1 1/2 oz Gin","Egg white, Light cream, Grenadine, Gin","1 , 1 tsp , 1 tsp , 1 1/2 oz "
296,Pink Moon,"Garnish withBlackberries, 30 mlLime Juice, 25 mlElderflower cordial, 1 shotCoconut Liqueur, 1 shotGin","Blackberries, Lime Juice, Elderflower cordial, Coconut Liqueur, Gin","Garnish with, 30 ml, 25 ml, 1 shot, 1 shot"
297,Penicillin,"1/4 ozIslay single malt Scotch, 2 tspGinger Syrup, 2 tspHoney syrup, 3/4 ozLemon Juice, 2 ozBlended Scotch","Islay single malt Scotch, Ginger Syrup, Honey syrup, Lemon Juice, Blended Scotch","1/4 oz, 2 tsp, 2 tsp, 3/4 oz, 2 oz"
298,Pisco Sour,"NoneEgg White, 1Ice, 1-2 tblsp Sugar, 1 oz Lemon juice, 2 oz Pisco","Egg White, Ice, Sugar, Lemon juice, Pisco","1, 1-2 tblsp , 1 oz , 2 oz "
299,Porto flip,"2 partsEgg Yolk, 9 partsPort, 3 partsBrandy","Egg Yolk, Port, Brandy","2 parts, 9 parts, 3 parts"
300,Pina Colada,"3 tblsp Pineapple, 3 tblsp Coconut milk, 3 oz Light rum","Pineapple, Coconut milk, Light rum","3 tblsp , 3 tblsp , 3 oz "
301,Pink Penocha,"1 gal Cranberry juice, 1 gal Orange juice, 1750 ml Peach schnapps, 1750 ml Vodka, 750 ml Everclear","Cranberry juice, Orange juice, Peach schnapps, Vodka, Everclear","1 gal , 1 gal , 1750 ml , 1750 ml , 750 ml "
302,Pure Passion,"Garnish withMint, DashPeach Bitters, 15 mlPassion fruit syrup, 30 mlLime Juice, 20 mlPassoa, 40 mlRum","Mint, Peach Bitters, Passion fruit syrup, Lime Juice, Passoa, Rum","Garnish with, Dash, 15 ml, 30 ml, 20 ml, 40 ml"
303,Popped cherry,"4 oz Orange juice, 4 oz Cranberry juice, 2 oz Cherry liqueur, 2 oz Vodka","Orange juice, Cranberry juice, Cherry liqueur, Vodka","4 oz , 4 oz , 2 oz , 2 oz "
304,Poppy Cocktail,"3/4 oz white Creme de Cacao, 1 1/2 oz Gin","Creme de Cacao, Gin","3/4 oz white , 1 1/2 oz "
305,Port Wine Flip,"NoneNutmeg, 1 whole Egg, 1 tsp Powdered sugar, 2 tsp Light cream, 1 1/2 oz Port","Nutmeg, Egg, Powdered sugar, Light cream, Port","1 whole , 1 tsp , 2 tsp , 1 1/2 oz "
306,Planter's Punch,"1 part Pineapple juice, 2 parts Orange juice, 1/2 part Orgeat syrup, 1 part Dark rum","Pineapple juice, Orange juice, Orgeat syrup, Dark rum","1 part , 2 parts , 1/2 part , 1 part "
307,Pineapple Paloma,"RimmedPepper, Garnish withLime, 8 ozPineapple Juice, 1 ozFresh Lime Juice, 4 ozGrapefruit Juice, 4 ozTequila","Pepper, Lime, Pineapple Juice, Fresh Lime Juice, Grapefruit Juice, Tequila","Rimmed, Garnish with, 8 oz, 1 oz, 4 oz, 4 oz"
308,Pornstar Martini,"1 shotProsecco, 1 clLime, 1 clPassion fruit juice, 3 clPassoa, 3 clVodka","Prosecco, Lime, Passion fruit juice, Passoa, Vodka","1 shot, 1 cl, 1 cl, 3 cl, 3 cl"
309,Planter’s Punch,"4 dropsAngostura Bitters, 1 clSugar Syrup, 1 clGrenadine, 3.5 clPineapple Juice, 3 clOrange Juice, 4.5 cLDark Rum","Angostura Bitters, Sugar Syrup, Grenadine, Pineapple Juice, Orange Juice, Dark Rum","4 drops, 1 cl, 1 cl, 3.5 cl, 3 cl, 4.5 cL"
310,Port And Starboard,"1/2 oz Green Creme de Menthe, 1 tblsp Grenadine","Green Creme de Menthe, Grenadine","1/2 oz , 1 tblsp "
311,Port Wine Cocktail,"1/2 tsp Brandy, 2 1/2 oz Port","Brandy, Port","1/2 tsp , 2 1/2 oz "
312,Pysch Vitamin Light,"NoneIce, 1 part Pineapple juice, 1 part Apple juice, 1 part Orange juice","Ice, Pineapple juice, Apple juice, Orange juice","1 part , 1 part , 1 part "
313,Pink Panty Pulldowns,"2 cups Vodka, 2 cups Pink lemonade, 1 L Sprite","Vodka, Pink lemonade, Sprite","2 cups , 2 cups , 1 L "
314,Passion Fruit Martini,"Full GlassPassion fruit juice, 1/2 shotSugar Syrup, 1 shotVodka","Passion fruit juice, Sugar Syrup, Vodka","Full Glass, 1/2 shot, 1 shot"
315,Pineapple Gingerale Smoothie,"1/2 Pineapple, 1/4 inch Ginger","Pineapple, Ginger","1/2 , 1/4 inch "
316,Quentin,"1/8 tsp grated Nutmeg, 1 oz Light cream, 1/2 oz Kahlua, 1 1/2 oz Dark rum","Nutmeg, Light cream, Kahlua, Dark rum","1/8 tsp grated , 1 oz , 1/2 oz , 1 1/2 oz "
317,Queen Bee,"1/2 oz cream Sherry, 1 1/2 oz Lime vodka, 1 oz Coffee brandy","Sherry, Lime vodka, Coffee brandy","1/2 oz cream , 1 1/2 oz , 1 oz "
318,Quick F**K,"1 part Baileys irish cream, 1 part Midori melon liqueur, 1 part Kahlua","Baileys irish cream, Midori melon liqueur, Kahlua","1 part , 1 part , 1 part "
319,Quick-sand,"Add 250 ml Orange juice, 25 ml Black Sambuca","Orange juice, Black Sambuca","Add 250 ml , 25 ml "
320,Queen Charlotte,"NoneLemon-lime soda, 1 oz Grenadine, 2 oz Red wine","Lemon-lime soda, Grenadine, Red wine","1 oz , 2 oz "
321,Queen Elizabeth,"1 1/2 tsp Benedictine, 1 1/2 oz Gin, 1/2 oz Dry Vermouth","Benedictine, Gin, Dry Vermouth","1 1/2 tsp , 1 1/2 oz , 1/2 oz "
322,Quaker's Cocktail,"2 tsp Raspberry syrup, Juice of 1/4 Lemon, 3/4 oz Brandy, 3/4 oz Light rum","Raspberry syrup, Lemon, Brandy, Light rum","2 tsp , Juice of 1/4 , 3/4 oz , 3/4 oz "
323,Quarter Deck Cocktail,"Juice of 1/2 Lime, 1/3 oz cream Sherry, 1 1/2 Light rum","Lime, Sherry, Light rum","Juice of 1/2 , 1/3 oz cream , 1 1/2 "
324,Rose,"NonePowdered sugar, 1 tsp Grenadine, 1/2 tsp Lemon juice, 1/2 oz Apricot brandy, 1 oz Gin, 1/2 oz Dry Vermouth","Powdered sugar, Grenadine, Lemon juice, Apricot brandy, Gin, Dry Vermouth","1 tsp , 1/2 tsp , 1/2 oz , 1 oz , 1/2 oz "
325,Radler,"12 oz 7-Up, 12 oz Beer","7-Up, Beer","12 oz , 12 oz "
326,Rum Sour,"1 Maraschino cherry, 1 Orange, 1/2 tsp superfine Sugar, 1 oz Lemon juice, 2 oz Light rum","Maraschino cherry, Orange, Sugar, Lemon juice, Light rum","1 , 1 , 1/2 tsp superfine , 1 oz , 2 oz "
327,Rum Punch,"crushed Ice, 355 ml frozen Orange juice, 355 ml frozen Fruit punch, large bottle Ginger ale, mikey bottle Rum","Ice, Orange juice, Fruit punch, Ginger ale, Rum","crushed , 355 ml frozen , 355 ml frozen , large bottle , mikey bottle "
328,Rum Toddy,"2 tsp Water, 1 twist of Lemon peel, 2 tsp Powdered sugar, 2 oz light or dark Rum","Water, Lemon peel, Powdered sugar, Rum","2 tsp , 1 twist of , 2 tsp , 2 oz light or dark "
329,Royal Fizz,"NoneCoca-Cola, 1 whole Egg, 2 oz Sweet and sour, 1 oz Gin","Coca-Cola, Egg, Sweet and sour, Gin","1 whole , 2 oz , 1 oz "
330,Rum Cooler,"1 Lemon, 4 oz Lemon-lime soda, 2 oz light or dark Rum","Lemon, Lemon-lime soda, Rum","1 , 4 oz , 2 oz light or dark "
331,Rum Runner,"3-4 oz Cranberry juice, 3-4 oz Pineapple juice, 3-4 oz Orange juice, 1 oz Blackberry brandy, 1 1/2 oz Malibu rum","Cranberry juice, Pineapple juice, Orange juice, Blackberry brandy, Malibu rum","3-4 oz , 3-4 oz , 3-4 oz , 1 oz , 1 1/2 oz "
332,Rusty Nail,"1 twist of Lemon peel, 1/2 oz Drambuie, 1 1/2 oz Scotch","Lemon peel, Drambuie, Scotch","1 twist of , 1/2 oz , 1 1/2 oz "
333,Red Snapper,"1 shot Cranberry juice, 1 shot Amaretto, 1 shot Crown Royal","Cranberry juice, Amaretto, Crown Royal","1 shot , 1 shot , 1 shot "
334,Royal Bitch,"1 part Crown Royal, 1 part Frangelico","Crown Royal, Frangelico","1 part , 1 part "
335,Royal Flush,"1 oz Cranberry juice, 1/2 oz Chambord raspberry liqueur, 1 oz Peach schnapps, 1 1/2 oz Crown Royal","Cranberry juice, Chambord raspberry liqueur, Peach schnapps, Crown Royal","1 oz , 1/2 oz , 1 oz , 1 1/2 oz "
336,Rum Cobbler,"1 Orange, 1 Maraschino cherry, 2 oz Dark rum, 1 Lemon, 3 oz Club soda, 1 tsp superfine Sugar","Orange, Maraschino cherry, Dark rum, Lemon, Club soda, Sugar","1 , 1 , 2 oz , 1 , 3 oz , 1 tsp superfine "
337,Ruby Tuesday,"2 splashes Grenadine, 5 oz Cranberry juice, 2 oz Gin","Grenadine, Cranberry juice, Gin","2 splashes , 5 oz , 2 oz "
338,Rail Splitter,"NoneGinger ale, NoneLemon juice, 2 tsp Sugar syrup","Ginger ale, Lemon juice, Sugar syrup",2 tsp 
339,Rosemary Blue,"Garnish withRosemary, 100 mlTonic Water, 15 mlBlue Curacao, 50 mlGin","Rosemary, Tonic Water, Blue Curacao, Gin","Garnish with, 100 ml, 15 ml, 50 ml"
340,Ramos Gin Fizz,"2 clSoda Water, 2 dropVanilla extract, 1Egg White, 6 clCream, 3 clSugar Syrup, 3 clLemon Juice, 4.5 cLGin","Soda Water, Vanilla extract, Egg White, Cream, Sugar Syrup, Lemon Juice, Gin","2 cl, 2 drop, 1, 6 cl, 3 cl, 3 cl, 4.5 cL"
341,Royal Gin Fizz,"NoneCarbonated water, 1 whole Egg, 1 tsp Powdered sugar, Juice of 1/2 Lemon, 2 oz Gin","Carbonated water, Egg, Powdered sugar, Lemon, Gin","1 whole , 1 tsp , Juice of 1/2 , 2 oz "
342,Rum Milk Punch,"NoneNutmeg, 1 tsp Powdered sugar, 1 cup Milk, 2 oz Light rum","Nutmeg, Powdered sugar, Milk, Light rum","1 tsp , 1 cup , 2 oz "
343,Raspberry Julep,"8Mint, 1/2 ozRaspberry syrup, 2 ozBourbon","Mint, Raspberry syrup, Bourbon","8, 1/2 oz, 2 oz"
344,Rum Screwdriver,"5 oz Orange juice, 1 1/2 oz Light rum","Orange juice, Light rum","5 oz , 1 1/2 oz "
345,Raspberry Cooler,"NoneIce, 4 oz Lemon-lime soda, 2 oz Raspberry vodka","Ice, Lemon-lime soda, Raspberry vodka","4 oz , 2 oz "
346,Rum Old-fashioned,"Twist of Lime peel, 1 tsp Water, 1 dash Bitters, 1/2 tsp Powdered sugar, 1 tsp 151 proof rum, 1 1/2 oz Light rum","Lime peel, Water, Bitters, Powdered sugar, 151 proof rum, Light rum","Twist of , 1 tsp , 1 dash , 1/2 tsp , 1 tsp , 1 1/2 oz "
347,Russian Spring Punch,"2.5 clLemon Juice, 1 clSugar Syrup, 1.5 clCreme de Cassis, 2.5 clVodka","Lemon Juice, Sugar Syrup, Creme de Cassis, Vodka","2.5 cl, 1 cl, 1.5 cl, 2.5 cl"
348,Radioactive Long Island Iced Tea,"1 oz Malibu rum, 1 oz Midori melon liqueur, 1 oz Chambord raspberry liqueur, 1 oz Triple sec, 1 oz Gin, 1 oz Tequila, 1 oz Vodka, 1 oz Rum","Malibu rum, Midori melon liqueur, Chambord raspberry liqueur, Triple sec, Gin, Tequila, Vodka, Rum","1 oz , 1 oz , 1 oz , 1 oz , 1 oz , 1 oz , 1 oz , 1 oz "
349,Smut,"1/3 part Orange juice, 1/3 part Pepsi Cola, 1 shot Peach schnapps, 1/3 part Red wine","Orange juice, Pepsi Cola, Peach schnapps, Red wine","1/3 part , 1/3 part , 1 shot , 1/3 part "
350,Spritz,"splashSoda Water, 4 clCampari, 6 clProsecco","Soda Water, Campari, Prosecco","splash, 4 cl, 6 cl"
351,Scooter,"1 oz Light cream, 1 oz Amaretto, 1 oz Brandy","Light cream, Amaretto, Brandy","1 oz , 1 oz , 1 oz "
352,Sangria,"NoneCinnamon, NoneCloves, 1 cup Lemon juice, 1 cup Orange juice, 1/2 cup Sugar, 1 bottle Red wine","Cinnamon, Cloves, Lemon juice, Orange juice, Sugar, Red wine","1 cup , 1 cup , 1/2 cup , 1 bottle "
353,Stinger,"1/2 oz White Creme de Menthe, 1 1/2 oz Brandy","White Creme de Menthe, Brandy","1/2 oz , 1 1/2 oz "
354,Sazerac,"1 twist of Lemon peel, 2 oz Bourbon, 1 tsp Water, 2 dashes Peychaud bitters, 1/2 tsp superfine Sugar, 1 tsp Ricard","Lemon peel, Bourbon, Water, Peychaud bitters, Sugar, Ricard","1 twist of , 2 oz , 1 tsp , 2 dashes , 1/2 tsp superfine , 1 tsp "
355,Sidecar,"1 oz Lemon juice, 1/2 oz Cointreau, 2 oz Cognac","Lemon juice, Cointreau, Cognac","1 oz , 1/2 oz , 2 oz "
356,Snowday,"Garnish withOrange Peel, DashAngostura Bitters, 1 tspBlood Orange, 1 ozRuby Port, 1 ozAmaro Montenegro, 1 ozVodka","Orange Peel, Angostura Bitters, Blood Orange, Ruby Port, Amaro Montenegro, Vodka","Garnish with, Dash, 1 tsp, 1 oz, 1 oz, 1 oz"
357,Spice 75,"Garnish withOrange spiral, 6 clChampagne, 90 mlLime Juice, 20 clRum, 1 tblspAllspice, 60 mlSugar","Orange spiral, Champagne, Lime Juice, Rum, Allspice, Sugar","Garnish with, 6 cl, 90 ml, 20 cl, 1 tblsp, 60 ml"
358,Snowball,"cubesIce, 1 slice Lemon, 8-10 oz cold Lemonade, 1 1/2 oz Advocaat","Ice, Lemon, Lemonade, Advocaat","cubes, 1 slice , 8-10 oz cold , 1 1/2 oz "
359,Shot-gun,"1 oz Wild Turkey, 1 part Jack Daniels, 1 part Jim Beam","Wild Turkey, Jack Daniels, Jim Beam","1 oz , 1 part , 1 part "
360,Salty Dog,"1/4 tsp Salt, 1 1/2 oz Gin, 5 oz Grapefruit juice","Salt, Gin, Grapefruit juice","1/4 tsp , 1 1/2 oz , 5 oz "
361,Stone Sour,"1 oz Sweet and sour, 1 oz Orange juice, 1 oz Apricot brandy","Sweet and sour, Orange juice, Apricot brandy","1 oz , 1 oz , 1 oz "
362,Sea breeze,"1 oz Grapefruit juice, 4 oz Cranberry juice, 1 1/2 oz Vodka","Grapefruit juice, Cranberry juice, Vodka","1 oz , 4 oz , 1 1/2 oz "
363,Scotch Sour,"1 Cherry, 1/2 slice Lemon, 1/2 tsp Powdered sugar, Juice of 1/2 Lime, 1 1/2 oz Scotch","Cherry, Lemon, Powdered sugar, Lime, Scotch","1 , 1/2 slice , 1/2 tsp , Juice of 1/2 , 1 1/2 oz "
364,Sweet Tooth,"NoneMilk, 2 shots Godiva liqueur","Milk, Godiva liqueur",2 shots 
365,Screwdriver,"NoneOrange juice, 2 oz Vodka","Orange juice, Vodka",2 oz 
366,Sherry Flip,"NoneNutmeg, 1 whole Egg, 1 tsp Powdered sugar, 2 tsp Light cream, 1 1/2 oz cream Sherry","Nutmeg, Egg, Powdered sugar, Light cream, Sherry","1 whole , 1 tsp , 2 tsp , 1 1/2 oz cream "
367,Sol Y Sombra,"1 1/2 oz Anisette, 1 1/2 oz Brandy","Anisette, Brandy","1 1/2 oz , 1 1/2 oz "
368,Shark Attack,"1 1/2 cup Vodka, 3 cans Water, 1 can Lemonade","Vodka, Water, Lemonade","1 1/2 cup , 3 cans , 1 can "
369,San Francisco,"NoneOrange juice, NoneGrenadine, 2 cl Creme de Banane, 2 cl Vodka","Orange juice, Grenadine, Creme de Banane, Vodka","2 cl , 2 cl "
370,Space Odyssey,"NoneCherries, NoneGrenadine, NoneOrange juice, 1 shot Pineapple juice, 1 shot Malibu rum, 1 shot Bacardi 151 proof rum","Cherries, Grenadine, Orange juice, Pineapple juice, Malibu rum, 151 proof rum","1 shot , 1 shot , 1 shot Bacardi "
371,Sherry Eggnog,"NoneNutmeg, NoneMilk, 1 whole Egg, 1 tsp Powdered sugar, 2 oz cream Sherry","Nutmeg, Milk, Egg, Powdered sugar, Sherry","1 whole , 1 tsp , 2 oz cream "
372,Sweet Bananas,"1 tblsp Honey, 1 Banana, 2 cups Milk","Honey, Banana, Milk","1 tblsp , 1 , 2 cups "
373,Sweet Sangria,"NoneFresca, NoneLemon,  wedges
Lime,  wedges
Orange, 1 cupApple, 2 cups hot Water, 1 cup Sugar, 2 bottles Red wine","Fresca, Lemon, Lime, Orange, Apple, Water, Sugar, Red wine"," wedges
,  wedges
, 1 cup, 2 cups hot , 1 cup , 2 bottles "
374,Thriller,"1 oz Orange juice, 1 oz Green Ginger Wine, 1 1/2 oz Scotch","Orange juice, Wine, Scotch","1 oz , 1 oz Green Ginger , 1 1/2 oz "
375,The Galah,"TopLime Juice, TopPineapple Juice, 1/2 shotCreme De Banane, 1 shotCampari, 1 shotDark Rum","Lime Juice, Pineapple Juice, Creme De Banane, Campari, Dark Rum","Top, Top, 1/2 shot, 1 shot, 1 shot"
376,Tia-Maria,"4 tsp Vanilla extract, 1 cup Rum, 4 tsp Coffee, 3/4-1 cup Brown sugar, 1 cup Water","Vanilla extract, Rum, Coffee, Brown sugar, Water","4 tsp , 1 cup , 4 tsp , 3/4-1 cup , 1 cup "
377,Tipperary,"1/2 ozGreen Chartreuse, 1 ozSweet Vermouth, 2 ozIrish Whiskey","Green Chartreuse, Sweet Vermouth, Irish Whiskey","1/2 oz, 1 oz, 2 oz"
378,Turkeyball,"1 splash Pineapple juice, 3/4 oz Amaretto, 1 oz Wild Turkey","Pineapple juice, Amaretto, Wild Turkey","1 splash , 3/4 oz , 1 oz "
379,Texas Sling,"1 oz Cream, 1/2 oz Bacardi 151 proof rum, 1/2 oz Amaretto, 1/2 oz Irish cream, 1/2 oz Kahlua","Cream, 151 proof rum, Amaretto, Irish cream, Kahlua","1 oz , 1/2 oz Bacardi , 1/2 oz , 1/2 oz , 1/2 oz "
380,Thai Coffee,"NoneIce, NoneWhipping cream, NoneSugar, 4-5 whole green Cardamom, 1/4 tsp Coriander, 6 tblsp groundCoffee","Ice, Whipping cream, Sugar, Cardamom, Coriander, Coffee","4-5 whole green , 1/4 tsp , 6 tblsp ground"
381,Tom Collins,"1 Orange, 1 Maraschino cherry, 3 oz Club soda, 1 tsp superfine Sugar, 1 oz Lemon juice, 2 oz Gin","Orange, Maraschino cherry, Club soda, Sugar, Lemon juice, Gin","1 , 1 , 3 oz , 1 tsp superfine , 1 oz , 2 oz "
382,Tomato Tang,"1 dash Celery salt, 1-2 tblsp Lemon juice, 2 cups Tomato juice","Celery salt, Lemon juice, Tomato juice","1 dash , 1-2 tblsp , 2 cups "
383,Talos Coffee,"1 part Coffee, 3 parts Grand Marnier","Coffee, Grand Marnier","1 part , 3 parts "
384,Tennesee Mud,"NoneWhipped cream, 4 oz Amaretto, 4 oz Jack Daniels, 8 oz Coffee","Whipped cream, Amaretto, Jack Daniels, Coffee","4 oz , 4 oz , 8 oz "
385,Tequila Fizz,"NoneGinger ale, 1 Egg white, 3/4 oz Grenadine, 1 tblsp Lemon juice, 2 oz Tequila","Ginger ale, Egg white, Grenadine, Lemon juice, Tequila","1 , 3/4 oz , 1 tblsp , 2 oz "
