,Cocktail Name,Cocktail_tags,Ingredients,Preparation,Alcoholic?,Category
197,Jitterbug,,"Fill to top with Soda water, 3 dashes Sugar syrup, Around rim put 1 pinch Sugar, 1 shot Lime juice, 3 dashes Grenadine, 1 jigger Vodka, 2 jiggers Gin, ","Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!",Alcoholic,Cocktail
198,Jackhammer,,"1 oz Amaretto, 1 oz Jack Daniels, ","Serve over ice- Warning,Deadly!",Alcoholic,Ordinary Drink
199,Jelly Bean,,"1 oz Anis, 1 oz Blackberry brandy, ",mix equal parts in pony glass-tastes just like a jelly bean!,Alcoholic,Shot
200,Jello shots,,"3 cups Water, 3 packages Jello, 2 cups Vodka, ","Boil 3 cups of water then add jello. Mix jello and water until jello is completely disolved. Add the two cups of vodka and mix together. Pour mixture into plastic shot glasses and chill until firm. Then, eat away...",Alcoholic,Shot
201,Jamaica Kiss,,"NoneMilk, cubesIce, 1 shot Jamaican Light rum, 1 shot Coffee liqueur, ",Fill a tumbler with ice cubes. Add a shot of Tia Maria and a shot of Jamaican light rum. Fill the tumbler with milk. Blend until smooth and serve immediately.,Alcoholic,Shake
202,John Collins,IBA,"1 Orange, 1 Maraschino cherry, 3 oz Club soda, 1 tsp superfine Sugar, 1 oz Lemon juice, 2 oz Bourbon, ",Pour all ingredients directly into highball glass filled with ice. Stir gently. Garnish. Add a dash of Angostura bitters.,Alcoholic,Ordinary Drink
203,Japanese Fizz,,"NoneCarbonated water, 1 Egg white, 1 tblspPort, 1 tsp Powdered sugar, Juice of 1/2 Lemon, 1 1/2 oz Blended whiskey, ","Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",Alcoholic,Ordinary Drink
204,Jamaican Coffee,,"NoneWhipped cream, 1/2 glass cold Water, 1/6 glass strong black Coffee, 1/6 glass Rum, ","Stir the rum, coffee and water together. Top with the whipped cream. Sprinkle with a pinch of well ground coffee and drink with a straw.",Alcoholic,Coffee / Tea
205,Just a Moonmint,,"NoneMint syrup, NoneChocolate syrup, 2 cups Milk, ","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",Non alcoholic,Shake
206,Jewel Of The Nile,,"1/2 oz Yellow Chartreuse, 1/2 oz Green Chartreuse, 1 1/2 oz Gin, ","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",Alcoholic,Ordinary Drink
207,Jack Rose Cocktail,Beach,"Juice of 1/2 Lime, 1 tsp Grenadine, 1 1/2 oz Apple brandy, ","Shake all ingredients with ice, strain into a cocktail glass, and serve.",Alcoholic,Ordinary Drink
208,Jack's Vanilla Coke,,"10-12 oz Coca-Cola, 1 tsp Vanilla extract, 2 oz Tennessee whiskey, 4-5 Ice, ","After pouring in your ingredients, and adding 3-5 ice cubes, according to taste. Stir the drink with a stirrer to get the Vanilla off the bottom.",Alcoholic,Other / Unknown
209,Kir,"IBA,ContemporaryClassic","5 parts Champagne, 1 part Creme de Cassis, ","Add the crème de cassis to the bottom of the glass, then top up with wine.",Alcoholic,Ordinary Drink
210,Karsk,,"2 parts Grain alcohol, 1 part Coffee, ","Put a copper coin in a coffe-cup and fill up with coffee until you no longer see the coin, then add alcohol until you see the coin. Norwegian speciality.",Alcoholic,Ordinary Drink
211,Kamikaze,"IBA,NewEra","1 oz Lime juice, 1 oz Triple sec, 1 oz Vodka, ","Shake all ingredients together with ice. Strain into glass, garnish and serve.",Alcoholic,Ordinary Drink
212,Kir Royale,,"5 parts Champagne, 1 part Creme de Cassis, ","Pour Creme de cassis in glass, gently pour champagne on top",Alcoholic,Ordinary Drink
213,Kiwi Lemon,,"cubesIce, 2 parts Bitter lemon, 1 part Kiwi liqueur, ",Mix in highball glass. Stirr. Garnish with slice of kiwi.,Alcoholic,Ordinary Drink
214,Kurant Tea,," (if needed)
Sugar, Turkish apple Tea, 4 cl Absolut Kurant, ","Pour Absolut Kurant into a comfortably big tea-cup. Add the not too hot(!) apple tea and, if you like, some sugar. Enjoy!",Alcoholic,Coffee / Tea
215,Kioki Coffee,,"NoneCoffee, 1/2 oz Brandy, 1 oz Kahlua, ",Stir. Add whipped cream to the top.,Alcoholic,Coffee / Tea
216,Kiwi Martini,"Green, Sharp","Garnish withKiwi, 1 1/2 ozVodka, 1 tspSugar Syrup, 1/2Kiwi, ","The kiwi martini is a very fun vodka cocktail and it is one of the best drinks that makes use of fresh fruit. Though there are a few recipes floating around, this is one of the easiest and it is an absolutely delightful green martini to drink.

For this recipe, you'll simply muddle slices of kiwi with simple syrup, then shake it with vodka. It's a drink that anyone can mix up in minutes and a perfect cocktail to show off your favorite vodka.",Alcoholic,Cocktail
217,Kiss me Quick,,"cubesIce, 8 cl Apple juice, 7 cl Schweppes Russchian, 2 cl Apfelkorn, 4 cl Cranberry vodka, ",mix in the glass,Alcoholic,Ordinary Drink
218,Kool-Aid Shot,,"NoneCranberry juice, 1 shot Triple sec, 1 shot Sloe gin, 1 shot Amaretto, 1 shot Vodka, ",Pour into a large glass with ice and stir. Add a little cranberry juice to taste.,Alcoholic,Shot
219,Kool First Aid,,"1/2 tsp Tropical Kool-Aid, 2 oz light 151 proof rum, ","Add Kool Aid to a double shot glass, and top with rum. Slam and shoot.",Alcoholic,Shot
220,Kentucky B And B,,"1/2 oz Benedictine, 2 oz Bourbon, ",Pour the bourbon and Benedictine into a brandy snifter.,Alcoholic,Ordinary Drink
221,Kentucky Colonel,,"1 twist of Lemon peel, 1/2 oz Benedictine, 3 oz Bourbon, ",In a shaker half-filled with ice cubes combine the courbon and Benedictine. Shake and strain into a cocktail glass. Garnish with the lemon twist.,Alcoholic,Ordinary Drink
222,Kool-Aid Slammer,,"1/2 oz Vodka, 1/2 oz Grape Kool-Aid, ","Fill half the shot glass with the kool-aid first. Then put a paper towel over the top of the glass and slowly pour in the vodka. If you do it right, you should be able to see that the two liquids are separated, with the vodka on top. Now slam it! The last thing you'll taste is the kool-aid.",Alcoholic,Shot
223,Kiwi Papaya Smoothie,,"1/2 Papaya, 3 Kiwi, ",Throw everything into a blender and liquify.,Non alcoholic,Other / Unknown
224,Kill the cold Smoothie,,"1 cup hot Water, 1/4 Lemon, 1 inch Ginger, ",Juice ginger and lemon and add it to hot water. You may add cardomom.,Non alcoholic,Other / Unknown
225,Limeade,,"NoneLime peel,  (seltzer water)
Soda water, 1 tblsp Sugar, Juice of 1 Lime, ","In a large glass, put the lime juice and sugar, and stir well. Add cold seltzer water to fill. Put the lime peels in the glass. Drink. Repeat until limes or soda run out.",Non alcoholic,Other / Unknown
226,Lunch Box,,"1 oz Orange juice, 1 shot Amaretto, 3/4 bottle Beer, ",Fill a pint glass almost full with beer. Then fill the rest with orange juice (careful not to fill it to the top). Then take the shot of Amaretto and drop it in.,Alcoholic,Beer
227,Lemon Drop,"IBA,NewEra","Juice of 1 wedge Lemon, 1 1/2 shot Cointreau, 1 1/2 shot Vodka, ",Shake and strain into a chilled cocktail glass rimmed with sugar.,Alcoholic,Cocktail
228,Lemon Shot,,"None151 proof rum, Bacardi Sugar,  wedge
Lemon, 1/2 oz Absolut Citron, 1/2 oz Galliano, ","Mix Galliano and Absolut Citron in a shot glass, lay lemon wedge sprinkled with sugar over glass and pour a rum over wedge and glass. light rum with a lighter and let burn for a second. Do shot quickly and suck on lemon. If it is done correctly, this will taste like a shot of sweet lemonade.",Alcoholic,Shot
229,Long vodka,,"4 Ice, 1 dl Schweppes Tonic water, 4 dashes Angostura bitters, 1/2 Lime, 5 cl Vodka, ","Shake a tall glass with ice cubes and Angostura, coating the inside of the glass. Por the vodka onto this, add 1 slice of lime and squeeze juice out of remainder, mix with tonic, stir and voila you have a Long Vodka",Alcoholic,Ordinary Drink
230,Lassi Khara,,"1 pinch Asafoetida, 1 tsp Salt, 2 cups cold Water, 1 cup Yoghurt, ",Blend (frappe) in blender until frothy. Add torn curry leaves and serve cold.,Non alcoholic,Other / Unknown
231,Lassi Raita,,"NoneSalt, NoneLime, NoneSugar, 4-6 Ice, 2 cups Yoghurt, ","Blend the yoghurt and ice cubes together, until the yoghurt becomes more liquid. Add sugar to taste. The lemon/lime is optional but it gives it a slightly tart taste. Dash of salt. Raita is also good for the summer. Instead of having a traditional salad you can make raita instead.",Non alcoholic,Other / Unknown
232,Lemouroudji,,"ground Cayenne pepper, 1 cup Sugar, 1 lb Lemon, 1 gal Water, 2 pieces Ginger, ","Juice the lemons. Peel and grate the ginger. Place the grated ginger and a liberal dash of the cayenne pepper into a piece of cheesecloth, and tie it into a knot. Let soak in the water. After 15 minutes or so, add the sugar, and the lemon juice. Chill, and serve.",Non alcoholic,Other / Unknown
233,Loch Lomond,,"1 twist of Lemon peel, 1/2 oz Dry Vermouth, 1/2 oz Drambuie, 2 oz Scotch, ","In a mixing glass half-filled with ice cubes, combine the Scotch, Drambuie, and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist.",Alcoholic,Ordinary Drink
234,London Town,,"2 dashes Orange bitters, 1/2 oz Maraschino liqueur, 1 1/2 oz Gin, ","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",Alcoholic,Ordinary Drink
235,Lassi - Mango,,"1 cup iced Water, 1/2 cup Sugar, 2 cups Yoghurt, 2 Mango, ",Put it all in a blender and pour over crushed ice. You can also use other fruits like strawberries and bananas.,Non alcoholic,Other / Unknown
236,Lassi - Sweet,,"2 tblsp Lemon juice, pinch Salt, 4 tblsp Sugar, 2 cups cold Water, 1 cup Yoghurt, ",Put all ingredients into a blender and blend until nice and frothy. Serve chilled.,Non alcoholic,Other / Unknown
237,Limona Corona,,"1 oz Bacardi Limon, 1 bottle Corona, ","Open the Corona. Fill the empty space in the neck in the bottle with the rum. The bottle should be filled to the top. Plug the bottle with your thumb or the palm of your hand. Turn the bottle upside-down so the rum and beer mix. Turn the bottle rightside-up, unplug, and drink.",Alcoholic,Beer
238,Lord And Lady,,"1/2 oz Tia maria, 1 1/2 oz Dark rum, ",Pour the rum and Tia Maria into an old-fashioned glass almost filled with ice cubes. Stir well.,Alcoholic,Ordinary Drink
239,Lady Love Fizz,,"NoneCarbonated water, 1 Egg white, Juice of 1/2Lemon, 1 tsp Powdered sugar, 2 tsp Light cream, 2 oz Gin, ","Shake all ingredients (except carbonated water) with ice and strain into a cocktail glass over two ice cubes. Fill with carbonated water, stir, and serve.",Alcoholic,Ordinary Drink
240,Long Island Tea,"Strong,Asia,StrongFlavor,Brunch,Vegetarian,Sour","1 splash Coca-Cola, Juice of 1/2 Lemon, 1/2 oz Tequila, 1/2 oz Gin, 1/2 oz Light rum, 1/2 oz Vodka, ",Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.,Alcoholic,Ordinary Drink
241,Lone Tree Cooler,,"NoneLemon peel, NoneOrange spiral, NonePowdered sugar, NoneDry Vermouth, NoneGin, NoneCarbonated water, ","Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice, add gin and vermouth, and stir. Fill with carbonated water and stir again. Add the twist of lemon peel and the orange spiral so that the end dangles over rim of glass.",Alcoholic,Ordinary Drink
242,Lone Tree Cocktail,,"1 1/2 oz Gin, 3/4 oz Sweet Vermouth, ","Stir ingredients with ice, strain into a cocktail glass, and serve.",Alcoholic,Ordinary Drink
243,Lazy Coconut Paloma,"Lazy, Sharp","TopSoda Water, 75 mlGrapefruit Juice, 30 mlCoconut Liqueur, ",Mix the coconut liqueur (preferably tequila) with the grapefruit juice and top with soda water. Garnish with a large grapefruit slice against the inside of the glass.,Alcoholic,Cocktail
244,Long Island Iced Tea,"IBA,ContemporaryClassic","Twist of Lemon peel, 1 dash Coca-Cola, 1/2 oz Gin, 1/2 oz Light rum, 1/2 oz Tequila, 1/2 oz Vodka, ",Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.,Alcoholic,Ordinary Drink
245,Lemon Elderflower Spritzer,"Summer, Fresh, Refreshing","TopFresh Lemon Juice, 1/3 cupSoda Water, 1 shotVodka, 2 tspElderflower cordial, ","Pour all ingredients over ice, stir and enjoy!
",Alcoholic,Cocktail
246,Lassi - A South Indian Drink,,"1/4 tsp dried Mint, 1/4 tsp Salt, 1/2 tsp ground roasted Cumin seed, 1 1/4 cup cold Water, 1/2 cup plain Yoghurt, ","Blend in a blender for 3 seconds. Lassi is one of the easiest things to make, and there are many ways of making it. Basically, it is buttermilk (yoghurt whisked with water), and you can choose almost any consistency that you like, from the thinnest to the thickest. Serve cold.",Non alcoholic,Other / Unknown
247,Melya,,"NoneCocoa powder, Unsweetened Honey, NoneEspresso, ","Brew espresso. In a coffee mug, place 1 teaspoon of unsweetened powdered cocoa, then cover a teaspoon with honey and drizzle it into the cup. Stir while the coffee brews, this is the fun part. The cocoa seems to coat the honey without mixing, so you get a dusty, sticky mass that looks as though it will never mix. Then all at once, presto! It looks like dark chocolate sauce. Pour hot espresso over the honey, stirring to dissolve. Serve with cream.",Non alcoholic,Coffee / Tea
248,Mojito,"IBA,ContemporaryClassic,Alcoholic,USA,Asia,Vegan,Citrus,Brunch,Hangover,Mild","NoneSoda water, 2-4 Mint, 2 tsp Sugar, Juice of 1 Lime, 2-3 oz Light rum, ",Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.,Alcoholic,Cocktail
249,Mimosa,"IBA,ContemporaryClassic","2 oz Orange juice, Chilled Champagne, ","Ensure both ingredients are well chilled, then mix into the glass. Serve cold.",Alcoholic,Ordinary Drink
250,Mai Tai,"IBA,ContemporaryClassic","1 Cherry, 1 1/2 oz Sweet and sour, 1/2 oz Triple sec, 1/2 oz Orgeat syrup, 1 oz Light rum, ",Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.,Alcoholic,Ordinary Drink
251,Martini,,"1 Olive, 1/3 oz Dry Vermouth, 1 2/3 oz Gin, ","Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.",Alcoholic,Cocktail
252,Michelada,"Hangover,StrongFlavor,Breakfast","DashSoy Sauce, DashWorcestershire Sauce, DashHot Sauce, 1 tblspLime Juice, 4 ozTomato Juice, 4 ozBeer, ","Mix the beer with tomato juice, freshly squeezed lime juice, and Worcestershire sauce, teriyaki sauce, soy sauce, or hot sauce.
Served In a chilled, salt-rimmed glass
",Alcoholic,Cocktail
253,Manhattan,"IBA,Classic,Alcoholic","1 twist of Orange peel, 1 Maraschino cherry, 2 or 3 Ice, dash Angostura bitters, 2 1/2 oz Blended Bourbon, 3/4 oz Sweet Vermouth, ","Stirred over ice, strained into a chilled glass, garnished, and served up.",Alcoholic,Cocktail
254,Margarita,"IBA,ContemporaryClassic","NoneSalt, 1 oz Lime juice, 1/2 oz Triple sec, 1 1/2 oz Tequila, ","Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass.",Alcoholic,Ordinary Drink
255,Mint Julep,"IBA,ContemporaryClassic","2 tsp Water, 1 tsp Powdered sugar, 2 1/2 oz Bourbon, 4 fresh Mint, ","In a highball glass gently muddle the mint, sugar and water. Fill the glass with cracked ice, add Bourbon and stir well until the glass is well frosted. Garnish with a mint sprig.",Alcoholic,Ordinary Drink
256,Mudslinger,,"750 ml Pepsi Cola, 1 L Orange juice, 750 ml Southern Comfort, ",Add all contents to a large jug or punch bowl. Stir well!,Alcoholic,Punch / Party Drink
257,Martinez 2,,"2 dashesAngostura Bitters, 1 tspMaraschino Liqueur, 1 1/2 ozSweet Vermouth, 1 1/2 ozGin, ","Add all ingredients to a mixing glass and fill with ice.

Stir until chilled, and strain into a chilled coupe glass.",Alcoholic,Cocktail
258,Moranguito,,"1/5 Grenadine, 2/5 Tequila, 2/5 Absinthe, ","first you put rhe absinthe, then put tequila, then put the Granadine syrup.",Alcoholic,Shot
259,Miami Vice,IBA,"frozen Daiquiri mix, frozen Pina colada mix, 5 oz Bacardi 151 proof rum, ","First: Mix pina colada with 2.5 oz. of rum with ice(set aside). Second: Mix daiquiri with 2.5 oz. of rum with ice. Third: While frozen, add pina colda mix then daiquiri mix in glass (Making sure they do not get mixed together).",Alcoholic,Cocktail
260,Moscow Mule,"IBA,ContemporaryClassic","8 oz Ginger ale, 2 oz Lime juice, 2 oz Vodka, ",Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.,Alcoholic,Punch / Party Drink
261,Mulled Wine,Christmas,"1/4 cup Brandy, 750 ml Red wine, 1 Lemon peel, 2 Cinnamon, 12 Cloves, 1 cup Sugar, 3 cups Water, ","Simmer 3 cups water with, sugar, cloves, cinnamon sticks, and lemon peel in a stainless steel pot for 10 minutes. Add wine heat to a ""coffee temperature"" (DO NOT BOIL) then add the brandy.",Alcoholic,Punch / Party Drink
262,Masala Chai,,"NoneMilk,  to taste
Sugar, 1-2 whole Black pepper, 1 piece Cinnamon, 3 Cloves, 3-4 crushed Cardamom, 1 chunk dried Ginger, 3-4 tsp Tea, 2 cups Water, ",Bring 2 cups of water to boil. Add all the ingredients and boil again for about 15 seconds. Let stand for a minute. Warm milk in a pot. Filter tea into cups. Add milk and sugar. That's IT.,Non alcoholic,Coffee / Tea
263,Munich Mule,German,"Choppedlemon, ChoppedCucumber, 10 clGinger Beer, 2 clLime Juice, 5 clGin, ","Fill glass with ice
Pour Gin and Lime Juice
Fill glass with Ginger Beer
Garnish with Cucumer and Lime slice",Alcoholic,Cocktail
264,Mocha-Berry,,"NoneWhipped cream, 2 tblsp Cocoa powder, 2 oz Chambord raspberry liqueur, 6 oz Coffee, ","pour 6 oz. of coffee in a mug or Irish coffee cup. add coca mix and chambord, mix well and top off with whipped cream.",Alcoholic,Coffee / Tea
265,Mango Mojito,Fruity,"Garnish withMango, TopSoda Water, cubesIce, 200 mlWhite Rum, SprigMint, 1 FreshMango, 3Lime, ","Squeeze the juice from 1½ limes and blend with the mango to give a smooth purée.
Cut the rest of the limes into quarters, and then cut each wedge in half again. Put 2 pieces of lime in a highball glass for each person and add 1 teaspoon of caster sugar and 5-6 mint leaves to each glass. Squish everything together with a muddler or the end of a rolling pin to release all the flavours from the lime and mint.
Divide the mango purée between the glasses and add 30ml white rum and a handful of crushed ice to each one, stirring well to mix everything together. Top up with soda water to serve and garnish with extra mint, if you like.",Alcoholic,Cocktail
266,Mojito Extra,,"8 drops Angostura bitters, 1/8 L Club soda, 1/8 L Jamaican Dark rum, 3 cl Lemon juice, 1/2 handful Mint, ","Put mint with lemon juice in a glas, mash the mint with a spoon, ice, rum & fill up with club soda. Top it with Angostura.",Alcoholic,Cocktail
267,Monkey Gland,"IBA,Classic","1 tsp Grenadine, 1/2 oz Orange juice, 1 tsp Benedictine, 2 oz Gin, ","Shake well over ice cubes in a shaker, strain into a chilled cocktail glass.",Alcoholic,Ordinary Drink
268,Midnight Mint,,"3/4 oz double Cream, 3/4 oz White Creme de Menthe, 1 oz Baileys irish cream, ","If available, rim cocktail (Martini) glass with sugar syrup then dip into chocolate flakes or powder. Add ingredients into shaker with ice. Shake well then strain into cocktail glass.",Alcoholic,Cocktail
269,Mary Pickford,"IBA,Classic","1 Maraschino cherry, 1/2 tsp Grenadine, 1/2 tsp Maraschino liqueur, 1 oz Pineapple juice, 1 1/2 oz Light rum, ",Shake and strain into a chilled large cocktail glass,Alcoholic,Cocktail
270,Monkey Wrench,,"1 dash Bitters, 3 oz Grapefruit juice, 1 1/2 oz Light rum, ",Pour all of the ingredients into an old-fashioned glass almost filled with ice cubes. Stir well.,Alcoholic,Ordinary Drink
271,Mother's Milk,,"1 oz Milk, 1 oz Butterscotch schnapps, 1 oz Goldschlager, ","Shake over ice, strain. Serves two.",Alcoholic,Shot
272,Negroni,"IBA,Classic","1 oz Sweet Vermouth, 1 oz Campari, 1 oz Gin, ","Stir into glass over ice, garnish and serve.",Alcoholic,Ordinary Drink
273,New York Sour,,"NoneCherry, NoneLemon,  (Claret)
Red wine, 1 tsp Sugar, Juice of 1/2 Lemon, 2 oz Blended whiskey, ","Shake blended whiskey, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Float claret on top. Decorate with the half-slice of lemon and the cherry and serve.",Alcoholic,Ordinary Drink
274,Nutty Irishman,,"1 part Milk, 1 part Frangelico, 1 part Baileys irish cream, ",Serve over ice,Alcoholic,Shake
275,National Aquarium,,"1 splash Lemon-lime soda, 2 oz Sour mix, 1/2 oz Blue Curacao, 1/2 oz Gin, 1/2 oz Vodka, 1/2 oz Rum, ",Pour all ingredients into a shaker of ice. Shake well. Serve on the rocks.,Alcoholic,Ordinary Drink
276,New York Lemonade,,"1 oz Club soda, 2 oz sweetened Lemon juice, 1 oz Grand Marnier, 2 oz Absolut Citron, ",Serve in a chilled cocktail glass. Lemon and sugar the rim. Stir and Strain.,Alcoholic,Cocktail
277,Nuked Hot Chocolate,,"12 oz Milk, 1/2 tsp Vanilla extract, 1 tsp Sugar, 2 tsp Cocoa powder, ","Mix with a bit of milk (1 oz or so) in coffee mug. Nuke mug for about 30-50 seconds. Stir until the heated cocoa dissolves. Fill mug with milk. Nuke for 1-2 minutes, depending on wattage and preferences as to burnt mouth parts.",Non alcoholic,Cocoa
278,Orgasm,,"1 oz Light cream, 1/2 oz Vodka, 1/2 oz Triple sec, 1/2 oz Amaretto, 1/2 oz white Creme de Cacao, ","Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.",Alcoholic,Ordinary Drink
279,Old Pal,,"1 ozDry Vermouth, 1 ozCampari, 2 ozRye whiskey, ","Chill cocktail glass. Add ingredients to a mixing glass, and fill 2/3 full with ice. Stir about 20 seconds. Empty cocktail glass and strain into the glass. Garnish with a twist of lemon peel.",Alcoholic,Cocktail
280,Orangeade,,"NoneSoda water, 2-3 cl Sugar syrup, 15 cl Orange juice, 5 cl Lemon juice, ","Place some ice cubes in a large tumbler or highball glass, add lemon juice, orange juice, sugar syrup, and stir well. Top up with cold soda water, serve with a drinking straw.",Non alcoholic,Cocktail
281,Orange Whip,,"Over Ice, 1 package Cream, 1 oz Vodka, 1 oz Rum, 4 oz Orange juice, ",Pour ingredients over ice and stir.,Alcoholic,Other / Unknown
282,Orange Crush,,"1 oz Orange juice, 1 oz Triple sec, 1 oz Vodka, ",Add all ingredients to tumbler-Pour as shot,Alcoholic,Shot
283,Orange Oasis,,"NoneGinger ale, 4 oz Orange juice, 1 1/2 oz Gin, 1/2 oz Cherry brandy, ","Shake brandy, gin, and orange juice with ice and strain into a highball glass over ice cubes. Fill with ginger ale, stir, and serve.",Alcoholic,Ordinary Drink
284,Old Fashioned,"IBA,Classic,Alcoholic,Expensive,Savory","dashWater, 1 cubeSugar, 2 dashesAngostura bitters, 4.5 cLBourbon, ","Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolved.
Fill the glass with ice cubes and add whiskey.

Garnish with orange twist, and a cocktail cherry.",Alcoholic,Cocktail
285,Oreo Mudslide,,"1 Oreo cookie, 2 scoops Vanilla ice-cream, 1 oz Baileys irish cream, 1 oz Kahlua, 1 oz Vodka, ","Blend Vodka, Kahlua, Bailey's, ice-cream and the Oreo well in a blender. Pour into a large frosted glass. Garnish with whipped cream and a cherry.",Alcoholic,Ordinary Drink
286,Oatmeal Cookie,,"1/2 partGoldschlager, 1 partJagermeister, 4 partsButterscotch schnapps, 2 partsBaileys irish cream, 2 partsKahlua, ","Just mix it all together.
It's meant to be a shot, but it works just fine as a proper adult-sized drink over lots of ice.

Tastes like an oatmeal cookie.",Alcoholic,Cocktail
287,Orange Push-up,,"1 splash Sour mix, 4 oz Orange juice, 0.5 oz Grenadine, 1.5 oz Spiced rum, ",Combine liquors in a blender. Add a half scoop of ice and blend. Garnish with an orange and cherry flag. So good it will melt in your mouth!!!,Alcoholic,Ordinary Drink
288,Orange Rosemary Collins,Citrus,"Garnish withOrange Peel, Garnish withRosemary, TopSoda Water, 25 mlRosemary Syrup, TopLemon Juice, TopOrange Juice, 1 shotGin, ",Add the spirits to the bottom of the glass and top equally with the mixer drinks. Garnish with orange slices inside the glass as well as some rosemary on top.,Alcoholic,Cocktail
289,Orange Scented Hot Chocolate,,"1/8 tsp ground Nutmeg, 1/2 tsp instant Espresso, 3 2-inch strips Orange peel, 4 oz chopped bittersweet or semi-sweet Chocolate, 2 cups Milk, ","Combine all ingredients in heavy medium saucepan. Stir over low heat until chocolate melts. Increase heat and bring just to a boil, stirring often. Remove from heat and whisk untily frothy. Return to heat and bring to boil again. Remove from heat, whisk until frothy. Repeat heating and whisking once again. Discard orange peel. (Can be prepared 2 hours ahead. Let stand at room temperature. Before serving, bring just to boil, remove from heat and whisk until frothy.) Pour hot chocolate into coffee mugs. Makes 2 servings.",Non alcoholic,Cocoa
290,Owen's Grandmother's Revenge,,"1 cup crushed Ice, 12 oz frozen Lemonade, 12 oz Beer, 12 oz Whiskey, ",Add ingredients and mix in blender.,Alcoholic,Ordinary Drink
291,Paloma,,"1 1/2 ozTequila, 3 ozGrape Soda, ",Stir together and serve over ice.,Alcoholic,Cocktail
292,Paradise,IBA,"3 parts Orange Juice, 4 partsApricot Brandy, 7 partsGin, ",Shake together over ice. Strain into cocktail glass and serve chilled.,Alcoholic,Ordinary Drink
293,Pink Gin,,"2 oz Gin, 3 dashes Bitters, ","Pour the bitters into a wine glass. Swirl the glass to coat the inside with the bitters, shake out the excess. Pour the gin into the glass. Do not add ice.",Alcoholic,Ordinary Drink
294,Pegu Club,,"1 dashOrange Bitters, 1 dashAngostura Bitters, 3/4 ozLime Juice, 3/4 ozOrange Curacao, 1 1/2 ozGin, ","Shake, strain, up, cocktail glass",Alcoholic,Cocktail
295,Pink Lady,,"1 Egg white, 1 tsp Light cream, 1 tsp Grenadine, 1 1/2 oz Gin, ","Shake all ingredients with ice, strain into a cocktail glass, and serve.",Alcoholic,Ordinary Drink
296,Pink Moon,"Fresh, Summer, Colourful, Nature","Garnish withBlackberries, 30 mlLime Juice, 25 mlElderflower cordial, 1 shotCoconut Liqueur, 1 shotGin, ","Slowly shake in a shaker with ice, strain into a square whiskey glass. Top with fresh ice. Add the blackberries to garnish. Add flowers and a green leaf for a special look!",Alcoholic,Cocktail
297,Penicillin,,"1/4 ozIslay single malt Scotch, 2 tspGinger Syrup, 2 tspHoney syrup, 3/4 ozLemon Juice, 2 ozBlended Scotch, ","Shake blended Scotch, lemon juice, honey syrup and ginger syrup with ice. Strain over large ice in chilled rocks glass. Float smoky Scotch on top (be sure to use a smoky Scotch such as an Islay single malt). Garnish with candied ginger.",Alcoholic,Cocktail
298,Pisco Sour,"IBA,NewEra","NoneEgg White, 1Ice, 1-2 tblsp Sugar, 1 oz Lemon juice, 2 oz Pisco, ","Vigorously shake and strain contents in a cocktail shaker with ice cubes, then pour into glass and garnish with bitters.
",Alcoholic,Cocktail
299,Porto flip,"IBA,Classic","2 partsEgg Yolk, 9 partsPort, 3 partsBrandy, ","Shake ingredients together in a mixer with ice. Strain into glass, garnish and serve.",Alcoholic,Ordinary Drink
300,Pina Colada,"IBA,ContemporaryClassic","3 tblsp Pineapple, 3 tblsp Coconut milk, 3 oz Light rum, ","Mix with crushed ice in blender until smooth. Pour into chilled glass, garnish and serve.",Alcoholic,Ordinary Drink
301,Pink Penocha,,"1 gal Cranberry juice, 1 gal Orange juice, 1750 ml Peach schnapps, 1750 ml Vodka, 750 ml Everclear, ",mix all ingredients into bowl keep iced stir frequently,Alcoholic,Punch / Party Drink
